产品ID,产品名称,类别,价格,销量,评分,上架日期,是否热销,库存
P001,智能手表,电子产品,599.99,120,4.5,2024-01-15,是,150
P002,无线耳机,电子产品,299.50,200,4.7,2024-01-20,是,300
P003,笔记本电脑,电子产品,4999.00,80,4.8,2024-02-01,是,50
P004,办公桌,家具,899.99,30,4.2,2024-02-10,否,80
P005,办公椅,家具,450.00,45,4.3,2024-02-15,否,100
P006,咖啡机,家电,799.00,55,4.6,2024-03-01,是,60
P007,空调,家电,2999.00,25,4.4,2024-03-05,否,30
P008,运动鞋,服装,399.99,150,4.1,2024-03-10,是,200
P009,连衣裙,服装,299.00,180,4.5,2024-03-15,是,250
P010,羽绒服,服装,899.00,90,4.3,2024-03-20,是,120
P011,保温杯,日用品,99.00,200,,2024-03-25,是,400
P012,洗发水,日用品,59.99,300,4.0,2024-04-01,是,500
P013,洗面奶,日用品,89.00,150,4.2,2024-04-05,否,300
P014,手机壳,配件,29.99,500,4.5,2024-04-10,是,800
P015,充电器,配件,79.99,350,4.4,2024-04-15,是,600
P016,背包,箱包,199.00,120,4.6,2024-04-20,是,150
P017,钱包,箱包,129.00,180,4.5,2024-04-25,否,200
P018,眼镜,配饰,299.00,75,4.3,2024-05-01,否,100
P019,围巾,配饰,159.99,110,4.2,2024-05-05,否,150
P020,手套,配饰,89.99,95,4.1,2024-05-10,否,120
P021,自行车,运动,1599.00,35,4.7,2024-05-15,是,40
P022,健身器材,运动,2999.00,20,4.6,2024-05-20,否,25
P023,图书,文具,59.00,150,4.8,2024-05-25,是,300
P024,笔,文具,19.99,500,4.2,2024-06-01,是,1000
P025,计算器,文具,89.00,100,4.3,2024-06-05,否,150
P026,相机,数码,3599.00,40,4.9,2024-06-10,是,30
P027,音箱,数码,599.00,120,4.4,2024-06-15,否,80
P028,投影仪,数码,2599.00,30,4.5,2024-06-20,否,40
P029,显示器,数码,1599.00,60,4.6,2024-06-25,是,70
P030,键盘,数码,299.00,150,4.3,2024-07-01,是,180
